Country,Value Added (%GDP),Year
Bulgaria,24.08606942,2003
Bulgaria,22.91617751,2004
Bulgaria,24.17590191,2005
Bulgaria,25.22834847,2006
Bulgaria,26.14111937,2007
Bulgaria,24.92017829,2008
Bulgaria,26.38495929,2009
Bulgaria,23.80926906,2010
Bulgaria,25.61460642,2011
Bulgaria,24.99963433,2012
Bulgaria,23.47577324,2013
Greece,20.51751723,2003
Greece,20.34401943,2004
Greece,17.80449046,2005
Greece,19.98724266,2006
Greece,17.9983582,2007
Greece,15.65977807,2008
Greece,15.31347071,2009
Greece,13.8278424,2010
Greece,13.68226966,2011
Greece,14.32591358,2012
Greece,14.66414061,2013
Poland,27.5248543,2003
Poland,28.96977907,2004
Poland,28.82546433,2005
Poland,29.02804573,2006
Poland,28.97082784,2007
Poland,29.107925,2008
Poland,29.80561256,2009
Poland,29.17695866,2010
Poland,29.83238705,2011
Poland,29.74337573,2012
Poland,28.62197061,2013
Romania,30.94589434,2003
Romania,31.31563882,2004
Romania,31.86336272,2005
Romania,32.57161367,2006
Romania,34.06777488,2007
Romania,36.79514424,2008
Romania,36.42078689,2009
Romania,37.82736106,2010
Romania,38.51583421,2011
Romania,32.50418658,2012
Romania,32.16567416,2013
Russia,28.65313499,2003
Russia,31.70222243,2004
Russia,32.62923207,2005
Russia,31.78026059,2006
Russia,31.2220408,2007
Russia,30.7868817,2008
Russia,29.32693903,2009
Russia,29.99958822,2010
Russia,29.25854935,2011
Russia,29.25628698,2012
Russia,28.20520829,2013
