Country,Value Added (%GDP),Year
Bulgaria,53.90010645,2003
Bulgaria,54.0937818,2004
Bulgaria,53.55533643,2005
Bulgaria,52.9479078,2006
Bulgaria,54.06970881,2007
Bulgaria,53.31100296,2008
Bulgaria,56.18770201,2009
Bulgaria,58.9937583,2010
Bulgaria,57.24166966,2011
Bulgaria,56.96973686,2012
Bulgaria,57.99250239,2013
Greece,64.2026373,2003
Greece,65.6019221,2004
Greece,67.6615538,2005
Greece,65.42151596,2006
Greece,67.17732827,2007
Greece,69.89138237,2008
Greece,71.29643916,2009
Greece,71.61376295,2010
Greece,71.23359516,2011
Greece,70.81266889,2012
Greece,70.82655203,2013
Poland,57.98801319,2003
Poland,56.21920087,2004
Poland,56.14911335,2005
Poland,55.94565087,2006
Poland,55.29801575,2007
Poland,55.74016635,2008
Poland,56.6242144,2009
Poland,56.23041061,2010
Poland,55.21839083,2011
Poland,56.19147859,2012
Poland,57.27961036,2013
Romania,46.58859304,2003
Romania,45.5581883,2004
Romania,48.14781155,2005
Romania,48.06620552,2006
Romania,49.39512191,2007
Romania,46.48740693,2008
Romania,47.79770998,2009
Romania,46.41463179,2010
Romania,43.14931493,2011
Romania,50.67226909,2012
Romania,50.66374028,2013
Russia,53.81745508,2003
Russia,50.65827059,2004
Russia,48.80604449,2005
Russia,49.72147556,2006
Russia,50.67304761,2007
Russia,50.69568778,2008
Russia,53.7665267,2009
Russia,53.12021224,2010
Russia,53.75569784,2011
Russia,54.09417195,2012
Russia,55.96645724,2013
